rider,event,Finish_Pos,Qual_Pos,Inv_Qual_Pos,FrontRow,Start_Top10,Podium,Win,DNF,Grid_vs_Finish_Gap
A. Espargaro,QAT,3.0,2,0.5,1,1,1,0,0,1.0
A. Espargaro,POR,8.0,3,0.3333333333333333,1,1,0,0,0,5.0
A. Espargaro,AME,5.0,7,0.14285714285714285,0,1,0,0,0,-2.0
A. Espargaro,FRA,5.0,6,0.16666666666666666,0,1,0,0,0,-1.0
A. Espargaro,CAT,1.0,1,1.0,1,1,1,1,0,0.0
A. Espargaro,ITA,9.0,9,0.1111111111111111,0,1,0,0,0,0.0
A. Espargaro,GBR,3.0,1,1.0,1,1,1,0,0,2.0
A. Espargaro,AUT,3.0,4,0.25,0,1,1,0,0,-1.0
A. Espargaro,ARA,10.0,11,0.09090909090909091,0,0,0,0,0,-1.0
A. Espargaro,RSM,12.0,3,0.3333333333333333,1,1,0,0,0,9.0
A. Espargaro,EMI,8.0,11,0.09090909090909091,0,0,0,0,0,-3.0
A. Espargaro,INA,16.0,3,0.3333333333333333,1,1,0,0,0,13.0
A. Espargaro,JPN,9.0,5,0.2,0,1,0,0,0,4.0
A. Espargaro,AUS,8.0,10,0.1,0,1,0,0,0,-2.0
A. Espargaro,THA,9.0,4,0.25,0,1,0,0,0,5.0
A. Espargaro,MAL,12.0,6,0.16666666666666666,0,1,0,0,0,6.0
A. Espargaro,SLD,4.0,2,0.5,1,1,0,0,0,2.0
A. Fernandez,POR,11.0,8,0.125,0,1,0,0,0,3.0
A. Fernandez,AME,14.0,8,0.125,0,1,0,0,0,6.0
A. Fernandez,SPA,7.0,8,0.125,0,1,0,0,0,-1.0
A. Fernandez,FRA,13.0,10,0.1,0,1,0,0,0,3.0
A. Fernandez,CAT,17.0,9,0.1111111111111111,0,1,0,0,0,8.0
A. Fernandez,ITA,17.0,10,0.1,0,1,0,0,0,7.0
A. Fernandez,NED,14.0,12,0.08333333333333333,0,0,0,0,0,2.0
A. Fernandez,GER,16.0,5,0.2,0,1,0,0,0,11.0
A. Fernandez,GBR,13.0,7,0.14285714285714285,0,1,0,0,0,6.0
A. Fernandez,AUT,15.0,6,0.16666666666666666,0,1,0,0,0,9.0
A. Fernandez,ARA,12.0,9,0.1111111111111111,0,1,0,0,0,3.0
A. Fernandez,RSM,16.0,7,0.14285714285714285,0,1,0,0,0,9.0
A. Fernandez,EMI,18.0,8,0.125,0,1,0,0,0,10.0
A. Fernandez,JPN,15.0,8,0.125,0,1,0,0,0,7.0
A. Fernandez,AUS,9.0,7,0.14285714285714285,0,1,0,0,0,2.0
A. Fernandez,THA,16.0,6,0.16666666666666666,0,1,0,0,0,10.0
A. Fernandez,MAL,10.0,11,0.09090909090909091,0,0,0,0,0,-1.0
A. Fernandez,SLD,19.0,11,0.09090909090909091,0,0,0,0,0,8.0
A. Iannone,MAL,17.0,7,0.14285714285714285,0,1,0,0,0,10.0
A. Marquez,QAT,6.0,9,0.1111111111111111,0,1,0,0,0,-3.0
A. Marquez,POR,13.0,1,1.0,1,1,0,0,0,12.0
A. Marquez,AME,14.0,2,0.5,1,1,0,0,0,12.0
A. Marquez,SPA,4.0,6,0.16666666666666666,0,1,0,0,0,-2.0
A. Marquez,FRA,10.0,7,0.14285714285714285,0,1,0,0,0,3.0
A. Marquez,CAT,7.0,3,0.3333333333333333,1,1,0,0,0,4.0
A. Marquez,ITA,8.0,8,0.125,0,1,0,0,0,0.0
A. Marquez,NED,7.0,4,0.25,0,1,0,0,0,3.0
A. Marquez,GER,3.0,5,0.2,0,1,1,0,0,-2.0
A. Marquez,GBR,6.0,1,1.0,1,1,0,0,0,5.0
A. Marquez,AUT,10.0,11,0.09090909090909091,0,0,0,0,0,-1.0
A. Marquez,ARA,4.0,5,0.2,0,1,0,0,0,-1.0
A. Marquez,RSM,6.0,1,1.0,1,1,0,0,0,5.0
A. Marquez,EMI,9.0,11,0.09090909090909091,0,0,0,0,0,-2.0
A. Marquez,INA,14.0,4,0.25,0,1,0,0,0,10.0
A. Marquez,JPN,7.0,10,0.1,0,1,0,0,0,-3.0
A. Marquez,AUS,15.0,8,0.125,0,1,0,0,0,7.0
A. Marquez,THA,5.0,9,0.1111111111111111,0,1,0,0,0,-4.0
A. Marquez,MAL,4.0,3,0.3333333333333333,1,1,0,0,0,1.0
A. Marquez,SLD,4.0,11,0.09090909090909091,0,0,0,0,0,-7.0
A. Rins,POR,13.0,11,0.09090909090909091,0,0,0,0,0,2.0
